조사일자,생육주사,초장(mm),엽장(mm),엽폭(mm),엽병장(mm),엽수(개),관부직경(mm),화방꽃수(소화수)(개),착과수(개),최종화방차수(차)
20230922,1.0,231.66666666666666,51.333333333333336,42.111111111111114,168.66666666666666,4.888888888888889,11.0,0.0,0.0,0.0
20230926,2.0,231.77777777777777,55.888888888888886,43.77777777777778,105.88888888888889,5.222222222222222,10.132222222222222,0.0,0.0,0.0
20231006,3.0,180.66666666666666,71.66666666666667,59.333333333333336,84.0,4.0,12.033333333333333,0.0,0.0,0.0
20231013,4.0,207.33333333333334,101.0,86.11111111111111,98.22222222222223,4.0,13.426666666666668,0.0,0.0,0.0
20231020,5.0,226.11111111111111,113.77777777777777,102.77777777777777,106.77777777777777,4.333333333333333,16.477777777777774,0.0,0.0,0.0
20231027,6.0,258.1111111111111,116.55555555555556,112.11111111111111,123.88888888888889,4.333333333333333,19.461111111111112,0.0,0.0,0.0
20231103,7.0,284.22222222222223,112.0,97.33333333333333,156.22222222222223,4.444444444444445,21.241111111111113,0.7777777777777778,1.7777777777777777,1.0
20231110,8.0,323.22222222222223,100.44444444444444,87.77777777777777,192.11111111111111,6.222222222222222,23.374444444444446,0.8888888888888888,5.444444444444445,1.0
20231117,9.0,359.22222222222223,104.22222222222223,90.55555555555556,206.66666666666666,6.111111111111111,25.17111111111111,0.5555555555555556,6.333333333333333,1.0
20231124,10.0,366.8888888888889,108.77777777777777,95.11111111111111,214.22222222222223,5.777777777777778,25.956666666666663,0.2222222222222222,6.888888888888889,1.0
20231130,11.0,357.44444444444446,103.77777777777777,84.33333333333333,204.88888888888889,5.555555555555555,23.583333333333332,0.1111111111111111,6.333333333333333,1.0
20231207,12.0,361.8888888888889,96.55555555555556,77.44444444444444,201.0,5.555555555555555,23.844444444444445,0.0,5.888888888888889,1.0
20231214,13.0,355.8888888888889,90.77777777777777,80.11111111111111,187.88888888888889,6.222222222222222,24.691111111111113,0.0,5.0,1.0
20231221,14.0,384.6666666666667,93.33333333333333,84.33333333333333,202.22222222222223,6.111111111111111,24.887777777777778,0.1111111111111111,3.5555555555555554,1.0
20231228,15.0,361.6666666666667,96.11111111111111,82.22222222222223,212.33333333333334,5.777777777777778,23.487777777777776,0.0,3.3333333333333335,1.0
20240104,16.0,363.1111111111111,90.0,75.33333333333333,199.77777777777777,5.777777777777778,24.474444444444444,0.0,2.0,1.0
20240111,17.0,331.0,77.55555555555556,65.0,168.88888888888889,5.444444444444445,27.47888888888889,0.0,0.8888888888888888,1.0
20240118,18.0,330.44444444444446,82.77777777777777,71.88888888888889,184.44444444444446,6.333333333333333,25.862222222222222,0.0,0.4444444444444444,1.2222222222222223
20240125,19.0,339.44444444444446,82.88888888888889,65.44444444444444,174.77777777777777,6.222222222222222,27.79222222222222,0.4444444444444444,1.1111111111111112,1.3333333333333333
20240201,20.0,326.8888888888889,68.55555555555556,55.55555555555556,148.66666666666666,7.222222222222222,26.802222222222223,0.6666666666666666,1.0,2.2222222222222223
20240207,21.0,318.77777777777777,70.11111111111111,57.888888888888886,142.66666666666666,7.222222222222222,29.01777777777778,0.5555555555555556,1.5555555555555556,2.0
20240215,22.0,332.22222222222223,64.55555555555556,54.666666666666664,158.88888888888889,7.888888888888889,27.28666666666667,0.1111111111111111,2.4444444444444446,2.0
20240222,23.0,264.55555555555554,72.0,59.888888888888886,142.66666666666666,5.222222222222222,24.984444444444442,0.2222222222222222,1.0,2.0
20240228,24.0,306.1111111111111,80.0,68.88888888888889,177.55555555555554,6.222222222222222,25.977777777777778,1.7777777777777777,1.6666666666666667,2.0
20240306,25.0,303.55555555555554,75.0,60.44444444444444,180.44444444444446,7.222222222222222,28.24,0.3333333333333333,1.1111111111111112,2.0
20240314,26.0,322.44444444444446,80.44444444444444,67.22222222222223,193.22222222222223,8.0,29.761111111111113,0.6666666666666666,2.2222222222222223,2.5555555555555554
20240320,27.0,375.1111111111111,83.77777777777777,69.88888888888889,215.33333333333334,9.222222222222221,29.04111111111111,0.3333333333333333,4.0,3.0
20240327,28.0,424.44444444444446,96.77777777777777,82.22222222222223,258.1111111111111,8.777777777777779,28.434444444444445,0.0,2.111111111111111,3.0
20240404,29.0,451.1111111111111,102.44444444444444,83.0,277.0,7.888888888888889,28.656666666666663,0.0,1.3333333333333333,3.0
20240411,30.0,440.0,99.11111111111111,81.66666666666667,287.1111111111111,8.666666666666666,29.294444444444448,0.0,0.4444444444444444,3.0
20240418,31.0,453.0,97.44444444444444,82.55555555555556,294.0,7.111111111111111,27.375555555555554,0.0,0.1111111111111111,3.0
20240426,32.0,412.55555555555554,90.11111111111111,78.0,282.44444444444446,7.222222222222222,26.82888888888889,0.0,0.0,3.0
